surt_url,timestamp,charset,digest,filename,languages,length,mime,mime-detected,offset,status,url
"edu,brookings)/articles/%d0%bb%d0%b8%d0%bb%d0%b8%d1%8f-%d1%88%d0%b5%d0%b2%d1%86%d0%be%d0%b2%d0%b0-%d0%ba%d1%80%d0%b5%d0%bc%d0%bb%d1%8c-%d0%b7%d0%b0%d0%b4%d0%b5%d0%b9%d1%81%d1%82%d0%b2%d1%83%d0%b5%d1%82-%d0%b2%d1%81%d0%b5",20250426050906,UTF-8,XX2A7OOC7G2F5R5PWEF7U3V3UN42SUZ4,crawl-data/CC-MAIN-2025-18/segments/1744889135976.34/warc/CC-MAIN-20250426032300-20250426062300-00661.warc.gz,"rus,eng",65267,text/html,text/html,682422618,200,https://www.brookings.edu/articles/%D0%BB%D0%B8%D0%BB%D0%B8%D1%8F-%D1%88%D0%B5%D0%B2%D1%86%D0%BE%D0%B2%D0%B0-%D0%BA%D1%80%D0%B5%D0%BC%D0%BB%D1%8C-%D0%B7%D0%B0%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D1%83%D0%B5%D1%82-%D0%B2%D1%81%D0%B5/
"edu,brookings)/articles/%d8%a8%d8%a7%d9%84%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%a7%d9%84%d9%88%d9%81%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d9%85%d8%aa%d8%b1%d8%a7%d9%83%d9%85%d8%a9-%d8%ac%d8%b1%d9%91%d8%a7%d8%a1-%d9%81%d9%8a%d8%b1",20250419022326,UTF-8,7BY2RUSSB65FVVEPQH33J6TZJQTF6BRT,crawl-data/CC-MAIN-2025-18/segments/1744889135690.57/warc/CC-MAIN-20250419005434-20250419035434-00664.warc.gz,"eng,ara",46783,text/html,text/html,647954476,200,https://www.brookings.edu/articles/%D8%A8%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D8%A7%D9%84%D9%88%D9%81%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%B1%D8%A7%D9%83%D9%85%D8%A9-%D8%AC%D8%B1%D9%91%D8%A7%D8%A1-%D9%81%D9%8A%D8%B1/
"edu,brookings)/articles/%d8%a8%d8%a7%d9%84%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%b5%d8%b1%d8%a7%d9%85%d8%a9-%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%ac%d8%a7%d8%a8%d8%a9-%d9%84%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83%d9%88%d8%b1%d9%88-2",20250429153528,UTF-8,K37EDUFFUQU6NLXXUWOWJW3VLG4UMZKQ,crawl-data/CC-MAIN-2025-18/segments/1744889460634.98/warc/CC-MAIN-20250429132325-20250429162325-00630.warc.gz,"eng,ara",47817,text/html,text/html,685531158,200,https://www.brookings.edu/articles/%D8%A8%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D8%B5%D8%B1%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AC%D8%A7%D8%A8%D8%A9-%D9%84%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88-2/
"edu,brookings)/articles/%e2%80%8bminsk-is-not-working-but-kyiv-should-stay-with-it",20250428014653,UTF-8,CYR4R4W5TTM4LDGVRROZH2KV3X5XVDIN,crawl-data/CC-MAIN-2025-18/segments/1744889136325.65/warc/CC-MAIN-20250428010926-20250428040926-00635.warc.gz,eng,47202,text/html,text/html,683015022,200,https://www.brookings.edu/articles/%E2%80%8Bminsk-is-not-working-but-kyiv-should-stay-with-it/
"edu,brookings)/articles/02-iran-around-brookings",20250419021123,UTF-8,EJS3ZQCMIPVSBFYDEFI47HQMF4DA4X2R,crawl-data/CC-MAIN-2025-18/segments/1744889135690.57/warc/CC-MAIN-20250419005434-20250419035434-00311.warc.gz,eng,39849,text/html,text/html,694213454,200,https://www.brookings.edu/articles/02-iran-around-brookings/
"edu,brookings)/articles/08-bank-capital-requirements-elliott",20250418170421,UTF-8,56GHMI6SS2W2JH6VJBFABPI7FFQZR766,crawl-data/CC-MAIN-2025-18/segments/1744889135683.36/warc/CC-MAIN-20250418151910-20250418181910-00856.warc.gz,eng,46304,text/html,text/html,688422941,200,https://www.brookings.edu/articles/08-bank-capital-requirements-elliott/
"edu,brookings)/articles/1-v-99-no-its-affluent-squeezed-and-entrenched-poverty",20250417214337,UTF-8,DGBCFHJMPS5EIYKSRHXJCLMJLI2IJJDW,crawl-data/CC-MAIN-2025-18/segments/1744889135621.75/warc/CC-MAIN-20250417201932-20250417231932-00219.warc.gz,eng,46448,text/html,text/html,698783553,200,https://www.brookings.edu/articles/1-v-99-no-its-affluent-squeezed-and-entrenched-poverty/
"edu,brookings)/articles/10-facts-about-american-women-in-the-workforce",20250419091231,UTF-8,QKUHAGCTY7DTLPNEWHSLJ62W5YA7FNDF,crawl-data/CC-MAIN-2025-18/segments/1744889135716.40/warc/CC-MAIN-20250419071436-20250419101436-00665.warc.gz,eng,49276,text/html,text/html,639196979,200,https://www.brookings.edu/articles/10-facts-about-american-women-in-the-workforce/
"edu,brookings)/articles/10-facts-about-americas-eitc-eligible-tax-filers",20250424231814,UTF-8,3BX46WTEKHYJ4CAMUUVWJCE7HEJYKUHH,crawl-data/CC-MAIN-2025-18/segments/1744889135897.82/warc/CC-MAIN-20250424215144-20250425005144-00480.warc.gz,eng,41114,text/html,text/html,680133717,200,https://www.brookings.edu/articles/10-facts-about-americas-eitc-eligible-tax-filers/
"edu,brookings)/articles/10-facts-about-child-well-being-and-health-in-america",20250421103246,UTF-8,ECAONTQD54WHBTPEOTSJZEKTBCHIACZL,crawl-data/CC-MAIN-2025-18/segments/1744889135766.71/warc/CC-MAIN-20250421100755-20250421130755-00790.warc.gz,eng,47394,text/html,text/html,650733759,200,https://www.brookings.edu/articles/10-facts-about-child-well-being-and-health-in-america/
"edu,brookings)/articles/10-facts-about-social-security-and-retirement-saving",20250420104832,UTF-8,4QG7HAJ4POJZUPXIJ5JZ2LJMCPBCPQ5M,crawl-data/CC-MAIN-2025-18/segments/1744889135740.31/warc/CC-MAIN-20250420084231-20250420114231-00632.warc.gz,eng,45377,text/html,text/html,688028492,200,https://www.brookings.edu/articles/10-facts-about-social-security-and-retirement-saving/
"edu,brookings)/articles/10-facts-about-water-policy-and-infrastructure-in-the-us",20250420062613,UTF-8,YXC3QKLD6WBVVSAXGO6KFQWMAC22SC5T,crawl-data/CC-MAIN-2025-18/segments/1744889135733.7/warc/CC-MAIN-20250420053204-20250420083204-00192.warc.gz,eng,44940,text/html,text/html,684522032,200,https://www.brookings.edu/articles/10-facts-about-water-policy-and-infrastructure-in-the-us/
"edu,brookings)/articles/10-new-innovations-that-could-change-the-world-2",20250425021342,UTF-8,SMKWVQ3Q44W7ZL2QSN45CXDO35I7AEBT,crawl-data/CC-MAIN-2025-18/segments/1744889135909.46/warc/CC-MAIN-20250425010839-20250425040839-00497.warc.gz,eng,47194,text/html,text/html,691833075,200,https://www.brookings.edu/articles/10-new-innovations-that-could-change-the-world-2/
"edu,brookings)/articles/10-new-innovations-that-could-change-the-world-2",20250429102701,UTF-8,FRM2MZ3PHPR4VHUURKTT7QIZZU7DKAJO,crawl-data/CC-MAIN-2025-18/segments/1744889460581.80/warc/CC-MAIN-20250429100507-20250429130507-00497.warc.gz,eng,47144,text/html,text/html,691313315,200,https://www.brookings.edu/articles/10-new-innovations-that-could-change-the-world-2/
"edu,brookings)/articles/10-things-to-know-about-brazil-as-you-watch-the-world-cup",20250427011147,UTF-8,WZR6CAF4ATK5Z7BHZJFZXKEOLG6OQPTS,crawl-data/CC-MAIN-2025-18/segments/1744889136091.64/warc/CC-MAIN-20250426230106-20250427020106-00136.warc.gz,eng,46356,text/html,text/html,718692567,200,https://www.brookings.edu/articles/10-things-to-know-about-brazil-as-you-watch-the-world-cup/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-august-2",20250424033411,UTF-8,ZSHI73AMLOZZ7ADEZWRAFZAHM6JF22LG,crawl-data/CC-MAIN-2025-18/segments/1744889135879.56/warc/CC-MAIN-20250424022518-20250424052518-00139.warc.gz,eng,45630,text/html,text/html,688163605,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-august-2/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-august-5",20250428211245,UTF-8,E5PWNKFN4N6CZ5JGZ45OMX42Y4WVZKTA,crawl-data/CC-MAIN-2025-18/segments/1744889457968.76/warc/CC-MAIN-20250428205407-20250428235407-00232.warc.gz,eng,47964,text/html,text/html,679396800,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-august-5/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-january",20250419052723,UTF-8,XHK3LG4LPE6F3BGSGP4BFWFBYAJHFDVK,crawl-data/CC-MAIN-2025-18/segments/1744889135697.3/warc/CC-MAIN-20250419040408-20250419070408-00833.warc.gz,eng,43073,text/html,text/html,699222183,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-january/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-january-3",20250428195103,UTF-8,R3A5HCFJELTKRTD7GC7GWBCNXL4YHCGX,crawl-data/CC-MAIN-2025-18/segments/1744889457310.88/warc/CC-MAIN-20250428173437-20250428203437-00875.warc.gz,eng,47757,text/html,text/html,674747305,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-january-3/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-july-3",20250423043027,UTF-8,RYXFOV7AMVMQUNNIMN6PZSH6C3OPPXYD,crawl-data/CC-MAIN-2025-18/segments/1744889135845.35/warc/CC-MAIN-20250423035537-20250423065537-00485.warc.gz,eng,45974,text/html,text/html,674541106,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-july-3/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-july-4",20250419234845,UTF-8,5WV6VQ2I6HHGDA7MS4NWEXRQWE33SCTY,crawl-data/CC-MAIN-2025-18/segments/1744889135728.67/warc/CC-MAIN-20250419230935-20250420020935-00516.warc.gz,eng,47186,text/html,text/html,657619047,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-july-4/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-march-2",20250419050226,UTF-8,44CJEDGWU7AMQZIISKR323AYL53ZTYRV,crawl-data/CC-MAIN-2025-18/segments/1744889135697.3/warc/CC-MAIN-20250419040408-20250419070408-00795.warc.gz,eng,45299,text/html,text/html,664521609,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-march-2/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-march-3",20250426173109,UTF-8,4PTJ7USD37NFTEIUJBFCKZZ6TALABI2G,crawl-data/CC-MAIN-2025-18/segments/1744889136051.38/warc/CC-MAIN-20250426162932-20250426192932-00826.warc.gz,eng,45183,text/html,text/html,694094719,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-march-3/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-may",20250421181800,UTF-8,5V3DA6PQO2U4TY4KNGJ6X5TAQD65EX24,crawl-data/CC-MAIN-2025-18/segments/1744889135784.9/warc/CC-MAIN-20250421163111-20250421193111-00886.warc.gz,eng,43054,text/html,text/html,695197949,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-may-3",20250428131720,UTF-8,IZKYFK35FCXNGZ25UQPX3YFBD5636AIC,crawl-data/CC-MAIN-2025-18/segments/1744889455370.95/warc/CC-MAIN-20250428105807-20250428135807-00960.warc.gz,eng,47979,text/html,text/html,632390409,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may-3/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-may-5",20250422035737,UTF-8,CJO56BKXYX2N4UO5KL64KEQHOHPXIZSG,crawl-data/CC-MAIN-2025-18/segments/1744889135796.50/warc/CC-MAIN-20250422020618-20250422050618-00022.warc.gz,eng,46304,text/html,text/html,695047328,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-may-5/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-november-2",20250430195013,UTF-8,HWDY7EO2KNP2HGPQKXB6XOLESZFY724J,crawl-data/CC-MAIN-2025-18/segments/1744889465147.97/warc/CC-MAIN-20250430184734-20250430214734-00548.warc.gz,eng,48000,text/html,text/html,677317557,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-november-2/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-november-3",20250422065059,UTF-8,EYI7BAJOCSRVNAKWSOW5MWWV4XHYGRGB,crawl-data/CC-MAIN-2025-18/segments/1744889135803.30/warc/CC-MAIN-20250422051655-20250422081655-00579.warc.gz,eng,47498,text/html,text/html,681684596,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-november-3/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-october-5",20250427173833,UTF-8,KZKSMEGSDRBMMKW4KSCSEQLR6TPOSTLX,crawl-data/CC-MAIN-2025-18/segments/1744889136225.18/warc/CC-MAIN-20250427151917-20250427181917-00251.warc.gz,eng,49626,text/html,text/html,662394056,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-october-5/
"edu,brookings)/articles/10-things-we-learned-at-brookings-in-september",20250420025407,UTF-8,SJ2DEA6DQYJQUQJGPKLESKCUCGPPWR6W,crawl-data/CC-MAIN-2025-18/segments/1744889135733.2/warc/CC-MAIN-20250420022045-20250420052045-00986.warc.gz,eng,47348,text/html,text/html,665501045,200,https://www.brookings.edu/articles/10-things-we-learned-at-brookings-in-september/
"edu,brookings)/articles/10-years-after-the-financial-crisis-uneven-progress-and-some-structural-disconnects",20250428080449,UTF-8,RHPZCYJCAAT5EQJ5B3HXRQXTSCJEI24A,crawl-data/CC-MAIN-2025-18/segments/1744889452533.90/warc/CC-MAIN-20250428074105-20250428104105-00343.warc.gz,eng,49737,text/html,text/html,659412444,200,https://www.brookings.edu/articles/10-years-after-the-financial-crisis-uneven-progress-and-some-structural-disconnects/
"edu,brookings)/articles/10-years-after-the-great-recession-why-arent-more-americans-working",20250426105228,UTF-8,QLMC6MGNLQRJ6NRWYIQ73W5M6WSZEPUG,crawl-data/CC-MAIN-2025-18/segments/1744889136035.0/warc/CC-MAIN-20250426095345-20250426125345-00060.warc.gz,eng,47014,text/html,text/html,648863312,200,https://www.brookings.edu/articles/10-years-after-the-great-recession-why-arent-more-americans-working/
"edu,brookings)/articles/10-years-later-4-fiscal-policy-lessons-from-the-global-financial-crisis",20250427074143,UTF-8,WEJBB3JTD33WHJTUDZCFV6EOV6XMVMKY,crawl-data/CC-MAIN-2025-18/segments/1744889136170.21/warc/CC-MAIN-20250427053651-20250427083651-00416.warc.gz,eng,48319,text/html,text/html,656781686,200,https://www.brookings.edu/articles/10-years-later-4-fiscal-policy-lessons-from-the-global-financial-crisis/
"edu,brookings)/articles/100-years-on-politics-is-where-the-u-s-lags-most-on-gender-equality?utm_campaign=brookingsbrief&utm_content=90187907&utm_medium=email&utm_source=hs_email",20250423060440,UTF-8,WDFFQRRRNZGG3I4LXJY4NMAMJDR47S6H,crawl-data/CC-MAIN-2025-18/segments/1744889135845.35/warc/CC-MAIN-20250423035537-20250423065537-00640.warc.gz,eng,83902,text/html,text/html,737559977,200,https://www.brookings.edu/articles/100-years-on-politics-is-where-the-u-s-lags-most-on-gender-equality/?utm_campaign=BrookingsBrief&utm_medium=email&utm_content=90187907&utm_source=hs_email
"edu,brookings)/articles/11-body-parts-researchers-will-use-to-track-you",20250424043923,UTF-8,433UXTH4TK742EL6CSAKSB6GFHMDQYWH,crawl-data/CC-MAIN-2025-18/segments/1744889135879.56/warc/CC-MAIN-20250424022518-20250424052518-00256.warc.gz,eng,55826,text/html,text/html,693643356,200,https://www.brookings.edu/articles/11-body-parts-researchers-will-use-to-track-you/
"edu,brookings)/articles/11-characteristics-of-the-international-order",20250425075904,UTF-8,KB67BMSPEUHRQZ5XKCWLHEQTNLFC7CCU,crawl-data/CC-MAIN-2025-18/segments/1744889135921.19/warc/CC-MAIN-20250425074148-20250425104148-00856.warc.gz,eng,45730,text/html,text/html,679137755,200,https://www.brookings.edu/articles/11-characteristics-of-the-international-order/
"edu,brookings)/articles/11-foreign-policy-questions-for-the-gop-candidates",20250425151146,UTF-8,IC45RKFSI64WWYB7QWBAFXAWG7OEQOGB,crawl-data/CC-MAIN-2025-18/segments/1744889135925.48/warc/CC-MAIN-20250425141546-20250425171546-00421.warc.gz,eng,48124,text/html,text/html,674198392,200,https://www.brookings.edu/articles/11-foreign-policy-questions-for-the-gop-candidates/
"edu,brookings)/articles/11-must-read-brookings-books-by-women-authors",20250426133933,UTF-8,YDKGBO45WKDK32R5D6HMBX4FG5K6ZSCI,crawl-data/CC-MAIN-2025-18/segments/1744889136036.49/warc/CC-MAIN-20250426131138-20250426161138-00120.warc.gz,eng,44137,text/html,text/html,688544328,200,https://www.brookings.edu/articles/11-must-read-brookings-books-by-women-authors/
"edu,brookings)/articles/1127246",20250430195126,UTF-8,K4S7TDY6UFR6JCUHB5IFLO3BD45JSAEV,crawl-data/CC-MAIN-2025-18/segments/1744889465147.97/warc/CC-MAIN-20250430184734-20250430214734-00816.warc.gz,eng,49391,text/html,text/html,664275254,200,https://www.brookings.edu/articles/1127246/
"edu,brookings)/articles/12-insurers-arent-banks-regulating-solvency-litan",20250429003100,UTF-8,5OJ7PU2OEL6WXAGDGFYWDXMUQD3RWB45,crawl-data/CC-MAIN-2025-18/segments/1744889459188.91/warc/CC-MAIN-20250429001142-20250429031142-00937.warc.gz,eng,44650,text/html,text/html,686772501,200,https://www.brookings.edu/articles/12-insurers-arent-banks-regulating-solvency-litan/
"edu,brookings)/articles/1342345",20250427133734,UTF-8,SBKH7K2RHMIJPPD7IILYCGQ7CTDKTND2,crawl-data/CC-MAIN-2025-18/segments/1744889136207.70/warc/CC-MAIN-20250427120521-20250427150521-00635.warc.gz,eng,51233,text/html,text/html,699461894,200,https://www.brookings.edu/articles/1342345/
"edu,brookings)/articles/14-brookings-books-on-american-federalism",20250424190133,UTF-8,JHEJN4QAEGX7YZ7HW55LO6B35TFX3QDZ,crawl-data/CC-MAIN-2025-18/segments/1744889135889.39/warc/CC-MAIN-20250424183510-20250424213510-00868.warc.gz,eng,48450,text/html,text/html,686885581,200,https://www.brookings.edu/articles/14-brookings-books-on-american-federalism/
"edu,brookings)/articles/15-million-success-stories-under-the-millennium-development-goals",20250418034936,UTF-8,IQPF5Y3XPPVAOPURP7FZRGDAN3Z5XMNG,crawl-data/CC-MAIN-2025-18/segments/1744889135660.52/warc/CC-MAIN-20250418024118-20250418054118-00487.warc.gz,eng,48936,text/html,text/html,706652658,200,https://www.brookings.edu/articles/15-million-success-stories-under-the-millennium-development-goals/
"edu,brookings)/articles/1622441",20250427063958,UTF-8,A6LXI5X5FP7S46555XWTGPG4FGNORK45,crawl-data/CC-MAIN-2025-18/segments/1744889136170.21/warc/CC-MAIN-20250427053651-20250427083651-00747.warc.gz,eng,50521,text/html,text/html,685585544,200,https://www.brookings.edu/articles/1622441/
"edu,brookings)/articles/17-rooms-a-new-approach-to-spurring-action-for-the-sustainable-development-goals",20250419112926,UTF-8,JBD6XRVHAJO5OE4TJGKDSQ5ZZJI7SHKR,crawl-data/CC-MAIN-2025-18/segments/1744889135719.15/warc/CC-MAIN-20250419102512-20250419132512-00719.warc.gz,eng,48214,text/html,text/html,691134034,200,https://www.brookings.edu/articles/17-rooms-a-new-approach-to-spurring-action-for-the-sustainable-development-goals/
"edu,brookings)/articles/17-rooms-a-new-podcast-for-the-sustainable-development-goals",20250420152639,UTF-8,EHBHKMBL7ME5QQJIPSGXNBQXGXNAA4NZ,crawl-data/CC-MAIN-2025-18/segments/1744889135754.45/warc/CC-MAIN-20250420150543-20250420180543-00855.warc.gz,eng,45588,text/html,text/html,689377207,200,https://www.brookings.edu/articles/17-rooms-a-new-podcast-for-the-sustainable-development-goals/
"edu,brookings)/articles/1958-when-america-first-went-to-war-in-the-middle-east",20250423221102,UTF-8,HKQMYHM2RCYH7B2JCNBZUMXZKRHRM3VK,crawl-data/CC-MAIN-2025-18/segments/1744889135865.54/warc/CC-MAIN-20250423200043-20250423230043-00163.warc.gz,eng,49415,text/html,text/html,659824134,200,https://www.brookings.edu/articles/1958-when-america-first-went-to-war-in-the-middle-east/
"edu,brookings)/articles/1979-another-embassy-under-siege",20250427012142,UTF-8,V7YTHMERSBYJY2SCCOYLILRJS7AAZEBS,crawl-data/CC-MAIN-2025-18/segments/1744889136091.64/warc/CC-MAIN-20250426230106-20250427020106-00455.warc.gz,eng,50454,text/html,text/html,666385875,200,https://www.brookings.edu/articles/1979-another-embassy-under-siege/
"edu,brookings)/articles/1979-iran-and-america",20250430140311,UTF-8,OEAHECYBPIPUCWVDPFLH4PEE7COZOFAN,crawl-data/CC-MAIN-2025-18/segments/1744889463150.74/warc/CC-MAIN-20250430121708-20250430151708-00163.warc.gz,eng,56597,text/html,text/html,706103826,200,https://www.brookings.edu/articles/1979-iran-and-america/
"edu,brookings)/articles/1997/summer_taxes_noll.aspx?p=1",20250418142342,,6HL7MWAXU7AX6QPEAMHISN3V4R4NC5J4,crawl-data/CC-MAIN-2025-18/segments/1744889135670.13/crawldiagnostics/CC-MAIN-20250418120951-20250418150951-00007.warc.gz,,30054,text/html,text/html,25287465,404,https://www.brookings.edu/articles/1997/summer_taxes_noll.aspx?p=1
